sale_id,sale_date,customer_id,car_make,car_model,car_year,category,color,mileage,sale_price,payment_method,dealership,salesperson,state,commission
SALE20241425,2024-01-02,CUST11425,Toyota,Corolla,2024,Sedan,Blue,37,21731.28,Finance,North Point Cars,James Thomas,MI,804.57
SALE20244138,2024-01-02,CUST14138,BMW,X5,2024,Luxury,White,42,65107.79,Finance,Eastside Dealers,Jennifer Martinez,TX,2481.34
SALE20242677,2024-01-02,CUST12677,Toyota,Camry,2023,Sedan,Gray,13,28533.47,Finance,Westside Auto,Jennifer Martinez,GA,1042.56
SALE20240627,2024-01-02,CUST10627,Honda,CR-V,2023,SUV,Brown,49,33083.67,Finance,Downtown Motors,Robert Wilson,OH,1301.63
SALE20244244,2024-01-02,CUST14244,Tesla,Model Y,2024,Electric,Brown,27,58641.19,Finance,Downtown Motors,John Smith,PA,2148.09
SALE20240083,2024-01-02,CUST10083,Chevrolet,Silverado,2024,Truck,Brown,39,43808.41,Finance,Westside Auto,Lisa Taylor,PA,1371.92
SALE20243557,2024-01-02,CUST13557,Toyota,Corolla,2024,Sedan,Silver,11,24313.94,Lease,Westside Auto,John Smith,TX,851.84
SALE20242083,2024-01-02,CUST12083,BMW,X5,2023,Luxury,Brown,31,63538.82,Lease,South Bay Autos,Emily Davis,GA,1472.42
SALE20244516,2024-01-02,CUST14516,Nissan,Altima,2024,Sedan,Silver,41,28456.74,Cash,North Point Cars,Robert Wilson,NY,1226.19
SALE20242359,2024-01-02,CUST12359,Honda,CR-V,2024,SUV,Gray,16,37050.58,Lease,Westside Auto,Sarah Johnson,PA,1526.55
SALE20242309,2024-01-02,CUST12309,Tesla,Model 3,2024,Electric,Gray,37,46375.7,Finance,Downtown Motors,James Thomas,TX,1135.62
SALE20242096,2024-01-02,CUST12096,Chevrolet,Equinox,2024,SUV,Black,14,27649.04,Lease,Eastside Dealers,David Anderson,IL,959.91
SALE20244443,2024-01-02,CUST14443,Toyota,Camry,2023,Sedan,Brown,50,27461.92,Finance,Eastside Dealers,Lisa Taylor,PA,1188.4
SALE20242121,2024-01-03,CUST12121,Mercedes,GLE,2023,Luxury,White,27,61656.43,Lease,North Point Cars,Jennifer Martinez,IL,2372.14
SALE20243562,2024-01-03,CUST13562,Mazda,CX-5,2024,SUV,Black,16,29131.19,Finance,North Point Cars,Jennifer Martinez,NY,1403.26
SALE20243680,2024-01-03,CUST13680,Mazda,CX-5,2024,SUV,Black,41,28943.02,Finance,Eastside Dealers,Lisa Taylor,GA,656.36
SALE20242155,2024-01-03,CUST12155,Mazda,CX-5,2024,SUV,White,22,28780.66,Cash,South Bay Autos,Lisa Taylor,CA,921.18
SALE20243359,2024-01-03,CUST13359,BMW,X5,2023,Luxury,Black,29,72624.94,Finance,North Point Cars,Robert Wilson,NY,3441.85
SALE20244841,2024-01-03,CUST14841,BMW,3 Series,2023,Luxury,Red,17,45189.23,Lease,Downtown Motors,James Thomas,GA,1823.64
SALE20244179,2024-01-03,CUST14179,Hyundai,Sonata,2024,Sedan,Silver,34,26843.39,Finance,Eastside Dealers,James Thomas,MI,1089.72
SALE20240973,2024-01-03,CUST10973,Tesla,Model Y,2024,Electric,White,15,49739.82,Lease,Westside Auto,James Thomas,MI,2426.05
SALE20240409,2024-01-04,CUST10409,Mercedes,C-Class,2023,Luxury,Brown,16,54067.53,Finance,Westside Auto,James Thomas,IL,1336.59
SALE20243312,2024-01-04,CUST13312,Chevrolet,Malibu,2023,Sedan,Green,34,29397.79,Finance,South Bay Autos,David Anderson,MI,1431.91
SALE20240002,2024-01-04,CUST10002,Honda,Civic,2023,Sedan,Red,11,26151.07,Finance,Eastside Dealers,Jennifer Martinez,TX,804.65
SALE20243493,2024-01-04,CUST13493,Chevrolet,Silverado,2024,Truck,Blue,47,43747.0,Finance,Eastside Dealers,Lisa Taylor,TX,1223.93
SALE20243179,2024-01-04,CUST13179,Nissan,Rogue,2024,SUV,Silver,22,29978.22,Finance,South Bay Autos,Robert Wilson,NY,1416.87
SALE20244246,2024-01-04,CUST14246,Toyota,RAV4,2023,SUV,Gray,27,31875.03,Finance,Downtown Motors,James Thomas,OH,1201.19
SALE20244339,2024-01-04,CUST14339,Hyundai,Sonata,2023,Sedan,Gray,31,26389.81,Finance,Eastside Dealers,Sarah Johnson,OH,729.74
SALE20244574,2024-01-05,CUST14574,Chevrolet,Malibu,2024,Sedan,Blue,42,26736.99,Cash,Westside Auto,James Thomas,GA,1058.45
SALE20244578,2024-01-05,CUST14578,Ford,F-150,2023,Truck,Brown,32,40640.58,Finance,South Bay Autos,David Anderson,OH,1355.21
SALE20241444,2024-01-05,CUST11444,Chevrolet,Equinox,2024,SUV,Blue,30,32511.36,Lease,South Bay Autos,James Thomas,NC,781.85
SALE20242486,2024-01-05,CUST12486,Hyundai,Sonata,2024,Sedan,Gray,35,27595.4,Lease,South Bay Autos,Michael Brown,GA,929.31
SALE20243539,2024-01-05,CUST13539,Nissan,Altima,2024,Sedan,Silver,42,26512.68,Cash,Eastside Dealers,Robert Wilson,PA,1034.44
SALE20240798,2024-01-05,CUST10798,BMW,X5,2024,Luxury,Red,49,72285.22,Finance,Eastside Dealers,David Anderson,OH,2611.53
SALE20243172,2024-01-05,CUST13172,Ford,F-150,2024,Truck,Silver,45,42490.91,Lease,Eastside Dealers,David Anderson,NC,2121.9
SALE20241238,2024-01-05,CUST11238,Honda,CR-V,2024,SUV,Silver,47,34772.91,Lease,North Point Cars,John Smith,MI,1001.2
SALE20242700,2024-01-05,CUST12700,Toyota,RAV4,2024,SUV,Gray,30,34020.64,Finance,Eastside Dealers,Michael Brown,CA,1480.87
SALE20242017,2024-01-05,CUST12017,Nissan,Rogue,2023,SUV,Black,13,29527.23,Finance,Eastside Dealers,David Anderson,CA,941.24
SALE20241969,2024-01-05,CUST11969,Chevrolet,Equinox,2024,SUV,Blue,29,28918.29,Lease,North Point Cars,Robert Wilson,GA,841.73
SALE20240094,2024-01-05,CUST10094,Nissan,Altima,2024,Sedan,White,27,30321.36,Finance,South Bay Autos,Robert Wilson,NY,805.64
SALE20240442,2024-01-05,CUST10442,Honda,Civic,2024,Sedan,Silver,40,24823.3,Finance,South Bay Autos,Jennifer Martinez,GA,1135.79
SALE20241788,2024-01-05,CUST11788,Nissan,Rogue,2024,SUV,Red,47,29660.89,Cash,Eastside Dealers,Lisa Taylor,IL,1474.25
SALE20240559,2024-01-06,CUST10559,BMW,X5,2024,Luxury,Brown,23,67652.45,Finance,South Bay Autos,David Anderson,PA,1940.02
SALE20241700,2024-01-06,CUST11700,Mercedes,GLE,2024,Luxury,White,47,61039.93,Finance,Eastside Dealers,David Anderson,GA,1392.38
SALE20240803,2024-01-06,CUST10803,Honda,Civic,2024,Sedan,Green,35,24368.51,Finance,North Point Cars,Sarah Johnson,FL,1030.65
SALE20240569,2024-01-06,CUST10569,Hyundai,Tucson,2024,SUV,Black,27,28075.01,Finance,Downtown Motors,James Thomas,TX,746.3
SALE20241958,2024-01-06,CUST11958,Chevrolet,Equinox,2023,SUV,Black,30,33146.14,Finance,Downtown Motors,Michael Brown,GA,951.17
SALE20243388,2024-01-06,CUST13388,Chevrolet,Equinox,2023,SUV,Red,27,32839.33,Finance,Downtown Motors,Robert Wilson,NC,930.57
SALE20240977,2024-01-06,CUST10977,Hyundai,Sonata,2024,Sedan,Silver,6,29256.17,Finance,Downtown Motors,James Thomas,TX,1236.66
SALE20242027,2024-01-06,CUST12027,Chevrolet,Equinox,2023,SUV,Red,41,30246.11,Cash,Downtown Motors,Lisa Taylor,NY,1481.18
SALE20244583,2024-01-06,CUST14583,Hyundai,Sonata,2023,Sedan,Brown,49,26525.2,Lease,Westside Auto,Jennifer Martinez,NY,559.18
SALE20242972,2024-01-07,CUST12972,Nissan,Altima,2023,Sedan,White,45,27901.56,Lease,North Point Cars,Robert Wilson,GA,773.21
SALE20244604,2024-01-07,CUST14604,Mazda,CX-5,2024,SUV,White,37,29580.35,Finance,North Point Cars,Mary Jackson,TX,688.83
SALE20240282,2024-01-07,CUST10282,Ford,Explorer,2024,SUV,Red,50,36449.46,Lease,North Point Cars,Michael Brown,CA,1538.9
SALE20243457,2024-01-07,CUST13457,Honda,CR-V,2023,SUV,Brown,45,33853.75,Lease,North Point Cars,Sarah Johnson,IL,1313.5
SALE20240905,2024-01-07,CUST10905,Hyundai,Tucson,2024,SUV,Silver,28,31280.43,Finance,Eastside Dealers,Jennifer Martinez,MI,849.19
SALE20240602,2024-01-07,CUST10602,Mazda,CX-5,2023,SUV,Gray,47,32890.72,Finance,Westside Auto,Emily Davis,TX,958.6
SALE20241734,2024-01-07,CUST11734,Ford,Escape,2023,SUV,Green,12,31176.69,Lease,Eastside Dealers,David Anderson,TX,1483.56
SALE20244019,2024-01-07,CUST14019,Mercedes,C-Class,2023,Luxury,Brown,12,54959.47,Finance,South Bay Autos,Mary Jackson,FL,1798.69
SALE20243968,2024-01-07,CUST13968,Mazda,Mazda3,2023,Sedan,Brown,14,24674.07,Finance,Downtown Motors,John Smith,NY,563.79
SALE20243914,2024-01-07,CUST13914,Chevrolet,Silverado,2023,Truck,Red,45,38312.79,Finance,South Bay Autos,James Thomas,NC,1387.59
SALE20244256,2024-01-07,CUST14256,Tesla,Model Y,2024,Electric,Red,15,56778.36,Finance,Eastside Dealers,John Smith,IL,2179.89
SALE20244447,2024-01-07,CUST14447,Mercedes,GLE,2023,Luxury,Green,24,69923.93,Cash,Downtown Motors,Jennifer Martinez,NC,2871.26
SALE20243812,2024-01-07,CUST13812,Chevrolet,Equinox,2023,SUV,White,50,32496.03,Cash,South Bay Autos,John Smith,NY,1468.19
SALE20241178,2024-01-07,CUST11178,Chevrolet,Equinox,2024,SUV,Red,15,29525.46,Finance,North Point Cars,Lisa Taylor,NY,1186.62
SALE20243798,2024-01-07,CUST13798,Chevrolet,Malibu,2024,Sedan,Black,33,27580.91,Lease,Westside Auto,James Thomas,CA,737.25
SALE20241355,2024-01-07,CUST11355,Chevrolet,Silverado,2023,Truck,Red,13,43052.07,Finance,Eastside Dealers,David Anderson,MI,1545.1
SALE20243671,2024-01-07,CUST13671,Ford,Explorer,2024,SUV,White,31,42444.52,Lease,North Point Cars,Mary Jackson,PA,2079.68
SALE20242524,2024-01-07,CUST12524,Toyota,Corolla,2024,Sedan,Green,6,23732.48,Finance,Downtown Motors,Michael Brown,MI,760.51
SALE20241962,2024-01-07,CUST11962,Toyota,RAV4,2024,SUV,White,43,30404.04,Finance,Eastside Dealers,David Anderson,TX,932.7
SALE20240507,2024-01-08,CUST10507,Ford,Escape,2024,SUV,Gray,33,34201.19,Lease,Westside Auto,Sarah Johnson,FL,1573.73
SALE20241753,2024-01-08,CUST11753,Honda,Civic,2024,Sedan,White,29,23904.09,Cash,Downtown Motors,James Thomas,OH,560.27
SALE20242899,2024-01-08,CUST12899,Ford,Explorer,2023,SUV,Black,39,37219.8,Finance,South Bay Autos,Michael Brown,PA,910.98
SALE20242608,2024-01-08,CUST12608,Honda,Accord,2024,Sedan,Black,40,32721.05,Finance,Eastside Dealers,Michael Brown,IL,1511.01
SALE20241516,2024-01-08,CUST11516,BMW,X5,2024,Luxury,Black,49,71964.04,Finance,South Bay Autos,Robert Wilson,NY,3304.26
SALE20243100,2024-01-08,CUST13100,Ford,F-150,2024,Truck,Brown,20,45636.07,Lease,Downtown Motors,Mary Jackson,CA,1580.04
SALE20244715,2024-01-08,CUST14715,Honda,Accord,2023,Sedan,Black,20,28206.1,Finance,Eastside Dealers,Robert Wilson,FL,957.57
SALE20244421,2024-01-08,CUST14421,Hyundai,Tucson,2024,SUV,Red,38,33019.24,Finance,North Point Cars,James Thomas,NY,857.09
SALE20244024,2024-01-08,CUST14024,Toyota,Camry,2023,Sedan,Gray,18,28396.89,Finance,Eastside Dealers,James Thomas,NC,1349.32
SALE20244506,2024-01-08,CUST14506,Chevrolet,Equinox,2024,SUV,Brown,46,32079.72,Finance,Eastside Dealers,Emily Davis,OH,1364.26
SALE20244344,2024-01-08,CUST14344,BMW,X5,2024,Luxury,Blue,20,63828.23,Finance,South Bay Autos,John Smith,PA,2401.84
SALE20243849,2024-01-08,CUST13849,Hyundai,Tucson,2024,SUV,White,16,31041.39,Finance,Eastside Dealers,Jennifer Martinez,NC,874.96
SALE20242196,2024-01-09,CUST12196,Ford,Explorer,2023,SUV,Brown,21,40849.24,Finance,Downtown Motors,Michael Brown,OH,1160.87
SALE20240582,2024-01-09,CUST10582,Toyota,RAV4,2024,SUV,Red,48,32571.42,Finance,Downtown Motors,Emily Davis,NC,1501.74
SALE20242526,2024-01-09,CUST12526,Tesla,Model 3,2023,Electric,White,13,44263.33,Lease,Downtown Motors,Lisa Taylor,NY,1964.03
SALE20242502,2024-01-09,CUST12502,Chevrolet,Equinox,2024,SUV,White,36,28048.9,Lease,South Bay Autos,Robert Wilson,NY,1299.29
SALE20241550,2024-01-09,CUST11550,Nissan,Rogue,2024,SUV,Silver,30,34277.41,Cash,Westside Auto,Robert Wilson,CA,945.52
SALE20243734,2024-01-09,CUST13734,Mercedes,GLE,2024,Luxury,White,5,62539.57,Finance,Downtown Motors,David Anderson,FL,1692.85
SALE20243421,2024-01-09,CUST13421,Honda,Accord,2024,Sedan,Brown,8,30462.07,Finance,Downtown Motors,Michael Brown,PA,1242.49
SALE20241352,2024-01-09,CUST11352,Tesla,Model 3,2023,Electric,Blue,40,47000.59,Finance,Eastside Dealers,Lisa Taylor,OH,1331.53
SALE20243863,2024-01-09,CUST13863,Toyota,RAV4,2024,SUV,Gray,9,34572.45,Cash,North Point Cars,Sarah Johnson,CA,1094.74
SALE20244769,2024-01-09,CUST14769,Ford,Escape,2024,SUV,White,33,31322.04,Finance,South Bay Autos,John Smith,NY,1379.79
SALE20241987,2024-01-09,CUST11987,Mercedes,GLE,2024,Luxury,Red,47,70133.42,Cash,Westside Auto,Sarah Johnson,NC,2501.1
SALE20241903,2024-01-09,CUST11903,Honda,CR-V,2023,SUV,Black,17,33529.25,Finance,Westside Auto,John Smith,NY,925.71
SALE20243352,2024-01-09,CUST13352,Tesla,Model 3,2023,Electric,Blue,11,47903.67,Lease,Westside Auto,Mary Jackson,IL,1044.94
SALE20241253,2024-01-09,CUST11253,Ford,F-150,2024,Truck,Red,38,46060.66,Finance,South Bay Autos,Michael Brown,MI,986.15
SALE20242186,2024-01-10,CUST12186,Honda,Accord,2023,Sedan,Green,44,29187.21,Cash,North Point Cars,David Anderson,MI,881.43
SALE20242792,2024-01-10,CUST12792,Honda,Accord,2024,Sedan,Green,19,29611.97,Finance,South Bay Autos,Robert Wilson,FL,1363.09
SALE20240182,2024-01-10,CUST10182,BMW,3 Series,2024,Luxury,Silver,35,45573.23,Finance,North Point Cars,David Anderson,NC,2104.78
SALE20242075,2024-01-10,CUST12075,Chevrolet,Malibu,2024,Sedan,Black,47,29103.06,Finance,Downtown Motors,Michael Brown,PA,1236.66
SALE20242363,2024-01-10,CUST12363,Honda,Accord,2023,Sedan,Green,13,33252.0,Lease,North Point Cars,Emily Davis,NC,1515.84
SALE20243669,2024-01-10,CUST13669,Ford,F-150,2024,Truck,Blue,29,46220.14,Finance,South Bay Autos,Lisa Taylor,IL,1211.46
SALE20241871,2024-01-10,CUST11871,Ford,Escape,2023,SUV,Silver,47,29512.36,Cash,Downtown Motors,Lisa Taylor,TX,669.76
SALE20242635,2024-01-10,CUST12635,Mazda,Mazda3,2024,Sedan,White,29,26272.52,Lease,Downtown Motors,Michael Brown,GA,999.21
SALE20244423,2024-01-10,CUST14423,BMW,3 Series,2024,Luxury,Red,5,49533.16,Finance,North Point Cars,Jennifer Martinez,OH,2322.05
SALE20243398,2024-01-10,CUST13398,Ford,Explorer,2024,SUV,Blue,13,41457.88,Lease,South Bay Autos,Sarah Johnson,CA,913.39
SALE20244390,2024-01-10,CUST14390,Mercedes,GLE,2024,Luxury,Red,35,66986.96,Finance,South Bay Autos,Lisa Taylor,CA,2059.64
SALE20242923,2024-01-10,CUST12923,Tesla,Model 3,2024,Electric,Green,23,43646.31,Finance,Eastside Dealers,John Smith,CA,1252.85
SALE20240576,2024-01-10,CUST10576,BMW,X5,2024,Luxury,White,30,63685.11,Finance,Downtown Motors,Robert Wilson,FL,2371.58
SALE20244090,2024-01-10,CUST14090,Chevrolet,Silverado,2023,Truck,Black,43,38161.5,Finance,Downtown Motors,Sarah Johnson,MI,1651.16
SALE20241596,2024-01-10,CUST11596,Mercedes,GLE,2024,Luxury,Brown,43,68803.47,Lease,North Point Cars,John Smith,FL,1513.94
SALE20243081,2024-01-10,CUST13081,Ford,Explorer,2023,SUV,Blue,49,38190.72,Finance,South Bay Autos,Lisa Taylor,GA,1244.99
SALE20243806,2024-01-11,CUST13806,Hyundai,Tucson,2024,SUV,Brown,31,28415.21,Finance,North Point Cars,Sarah Johnson,NY,1218.98
SALE20243771,2024-01-11,CUST13771,Chevrolet,Silverado,2023,Truck,Brown,50,44482.86,Finance,Eastside Dealers,Robert Wilson,NY,2106.58
SALE20242494,2024-01-11,CUST12494,Chevrolet,Malibu,2024,Sedan,Brown,45,28305.05,Finance,Westside Auto,Sarah Johnson,PA,1064.34
SALE20244260,2024-01-11,CUST14260,Toyota,Corolla,2024,Sedan,Gray,18,21271.17,Finance,Westside Auto,Lisa Taylor,CA,958.61
SALE20244601,2024-01-11,CUST14601,Mercedes,C-Class,2023,Luxury,White,18,51797.68,Lease,Eastside Dealers,John Smith,MI,1102.85
SALE20241278,2024-01-11,CUST11278,Nissan,Rogue,2024,SUV,Brown,38,32446.29,Finance,North Point Cars,Mary Jackson,NY,1214.36
SALE20241802,2024-01-11,CUST11802,Toyota,Camry,2024,Sedan,Brown,18,28798.73,Lease,North Point Cars,Michael Brown,PA,714.8
SALE20241110,2024-01-11,CUST11110,Mercedes,C-Class,2023,Luxury,Green,45,46584.2,Cash,North Point Cars,Robert Wilson,IL,2011.15
SALE20244242,2024-01-11,CUST14242,Nissan,Rogue,2024,SUV,Green,23,32553.3,Finance,Downtown Motors,James Thomas,TX,952.15
SALE20241332,2024-01-11,CUST11332,BMW,X5,2023,Luxury,Red,44,74055.85,Lease,Eastside Dealers,Jennifer Martinez,TX,2147.85
SALE20244625,2024-01-11,CUST14625,Tesla,Model 3,2024,Electric,Green,15,51258.84,Finance,Eastside Dealers,Mary Jackson,GA,2110.35
SALE20241181,2024-01-12,CUST11181,Chevrolet,Silverado,2024,Truck,Brown,12,42451.52,Finance,Westside Auto,James Thomas,FL,972.54
SALE20240205,2024-01-12,CUST10205,Chevrolet,Silverado,2024,Truck,Green,14,41704.03,Finance,South Bay Autos,Emily Davis,NY,1178.95
SALE20242267,2024-01-12,CUST12267,Nissan,Altima,2024,Sedan,White,16,26157.17,Finance,Downtown Motors,Emily Davis,NY,928.26
SALE20240536,2024-01-12,CUST10536,Nissan,Altima,2024,Sedan,Gray,33,29745.87,Finance,Eastside Dealers,Robert Wilson,IL,1193.81
SALE20243419,2024-01-12,CUST13419,Mazda,CX-5,2023,SUV,Green,22,34413.43,Finance,North Point Cars,James Thomas,OH,842.03
SALE20244413,2024-01-12,CUST14413,Hyundai,Tucson,2024,SUV,Green,45,31726.27,Cash,Downtown Motors,Jennifer Martinez,MI,1052.96
SALE20242686,2024-01-12,CUST12686,Toyota,Corolla,2024,Sedan,Gray,22,25266.08,Finance,South Bay Autos,Robert Wilson,GA,1009.69
SALE20243025,2024-01-12,CUST13025,Chevrolet,Silverado,2024,Truck,Blue,23,43673.49,Lease,Downtown Motors,Michael Brown,PA,2063.45
SALE20241995,2024-01-12,CUST11995,Mazda,Mazda3,2024,Sedan,Silver,14,26061.16,Finance,Downtown Motors,Mary Jackson,CA,959.26
SALE20244706,2024-01-12,CUST14706,Mazda,Mazda3,2024,Sedan,White,5,24612.33,Lease,Eastside Dealers,James Thomas,MI,745.31
SALE20243953,2024-01-12,CUST13953,Hyundai,Tucson,2024,SUV,Green,27,30252.72,Finance,Downtown Motors,Michael Brown,NY,659.15
SALE20243920,2024-01-12,CUST13920,Tesla,Model 3,2023,Electric,White,32,50617.26,Finance,North Point Cars,Robert Wilson,MI,1998.05
SALE20244717,2024-01-13,CUST14717,Hyundai,Tucson,2024,SUV,White,35,28773.63,Finance,Eastside Dealers,David Anderson,MI,1104.25
SALE20244923,2024-01-13,CUST14923,Chevrolet,Malibu,2023,Sedan,Brown,14,24892.7,Finance,Eastside Dealers,Michael Brown,PA,927.82
SALE20242756,2024-01-13,CUST12756,Mercedes,GLE,2023,Luxury,Brown,43,67677.2,Lease,Eastside Dealers,James Thomas,CA,1824.38
SALE20242335,2024-01-13,CUST12335,BMW,3 Series,2024,Luxury,Blue,12,50943.44,Lease,Eastside Dealers,Lisa Taylor,IL,1546.71
SALE20241116,2024-01-13,CUST11116,Tesla,Model 3,2024,Electric,Brown,45,49690.85,Finance,Eastside Dealers,Sarah Johnson,IL,2448.49
SALE20242737,2024-01-13,CUST12737,Mercedes,C-Class,2024,Luxury,Red,35,47271.42,Lease,Westside Auto,David Anderson,NY,2093.81
SALE20240767,2024-01-13,CUST10767,Mazda,Mazda3,2024,Sedan,Green,9,23385.45,Lease,Downtown Motors,Emily Davis,FL,906.88
SALE20241046,2024-01-13,CUST11046,Hyundai,Sonata,2024,Sedan,Black,31,30262.11,Cash,Westside Auto,Michael Brown,CA,1121.18
SALE20242118,2024-01-13,CUST12118,Toyota,Corolla,2024,Sedan,White,33,22882.54,Lease,Westside Auto,Sarah Johnson,OH,1066.62
SALE20240244,2024-01-13,CUST10244,BMW,X5,2024,Luxury,Green,34,63109.14,Cash,Downtown Motors,Michael Brown,PA,2747.02
SALE20242420,2024-01-13,CUST12420,Hyundai,Tucson,2023,SUV,Brown,47,33897.78,Finance,South Bay Autos,Sarah Johnson,FL,1309.03
SALE20244353,2024-01-13,CUST14353,Mazda,CX-5,2024,SUV,Gray,31,30996.09,Lease,South Bay Autos,Jennifer Martinez,TX,1138.17
SALE20244464,2024-01-13,CUST14464,Nissan,Rogue,2024,SUV,Silver,40,33909.24,Lease,South Bay Autos,Sarah Johnson,OH,1400.0
SALE20243901,2024-01-14,CUST13901,Hyundai,Tucson,2024,SUV,Brown,14,28506.97,Finance,South Bay Autos,Michael Brown,FL,953.82
SALE20244575,2024-01-14,CUST14575,Ford,Escape,2023,SUV,Black,17,30037.06,Finance,Downtown Motors,John Smith,GA,1220.45
SALE20241077,2024-01-14,CUST11077,Honda,Accord,2024,Sedan,Red,18,31082.42,Finance,South Bay Autos,James Thomas,MI,974.91
SALE20241568,2024-01-14,CUST11568,Nissan,Altima,2024,Sedan,Green,37,26402.19,Finance,Westside Auto,Michael Brown,NY,645.18
SALE20241564,2024-01-14,CUST11564,Toyota,Camry,2024,Sedan,Red,5,29882.11,Cash,North Point Cars,Michael Brown,MI,816.73
SALE20242028,2024-01-14,CUST12028,BMW,3 Series,2023,Luxury,Brown,10,44695.69,Finance,Downtown Motors,John Smith,GA,1040.28
SALE20243148,2024-01-14,CUST13148,Honda,Civic,2024,Sedan,Brown,6,25613.38,Lease,Westside Auto,John Smith,TX,564.96
SALE20241638,2024-01-14,CUST11638,Honda,CR-V,2024,SUV,White,42,37504.99,Cash,Downtown Motors,Robert Wilson,PA,1478.45
SALE20240802,2024-01-14,CUST10802,Honda,Civic,2023,Sedan,Green,8,23755.19,Finance,Eastside Dealers,Robert Wilson,NC,737.83
SALE20244599,2024-01-14,CUST14599,Mazda,Mazda3,2023,Sedan,Brown,38,24994.54,Lease,North Point Cars,Emily Davis,OH,812.89
SALE20242582,2024-01-14,CUST12582,Ford,Escape,2024,SUV,Green,35,30829.79,Lease,South Bay Autos,David Anderson,MI,1473.95
SALE20241927,2024-01-14,CUST11927,Hyundai,Sonata,2024,Sedan,Red,7,28719.76,Finance,Downtown Motors,Sarah Johnson,NY,611.97
SALE20244546,2024-01-14,CUST14546,Honda,Accord,2024,Sedan,Brown,15,28655.95,Lease,South Bay Autos,Michael Brown,NC,800.73
SALE20242224,2024-01-14,CUST12224,BMW,3 Series,2024,Luxury,Green,5,49498.13,Lease,Westside Auto,Jennifer Martinez,TX,2017.29
SALE20240162,2024-01-14,CUST10162,Chevrolet,Malibu,2024,Sedan,Red,10,27580.91,Lease,North Point Cars,James Thomas,FL,606.02
SALE20243544,2024-01-14,CUST13544,BMW,3 Series,2024,Luxury,Red,18,49997.35,Finance,Westside Auto,James Thomas,GA,1988.74
SALE20241650,2024-01-15,CUST11650,Chevrolet,Equinox,2024,SUV,Silver,15,28604.38,Lease,South Bay Autos,Mary Jackson,NY,1391.9
SALE20242784,2024-01-15,CUST12784,Hyundai,Tucson,2023,SUV,Gray,9,29089.51,Lease,South Bay Autos,Michael Brown,TX,1382.09
SALE20240628,2024-01-15,CUST10628,Honda,Accord,2024,Sedan,Brown,32,31985.37,Finance,Downtown Motors,Jennifer Martinez,MI,1472.94
SALE20242644,2024-01-15,CUST12644,Ford,Explorer,2023,SUV,Brown,14,39719.11,Finance,North Point Cars,Robert Wilson,CA,821.23
SALE20243641,2024-01-15,CUST13641,BMW,3 Series,2023,Luxury,Green,33,42955.54,Cash,Eastside Dealers,Michael Brown,OH,1221.79
SALE20242542,2024-01-15,CUST12542,Ford,Escape,2023,SUV,Silver,32,34462.55,Finance,North Point Cars,Lisa Taylor,IL,1558.22
SALE20242022,2024-01-15,CUST12022,Nissan,Altima,2024,Sedan,Brown,16,29593.02,Finance,Westside Auto,Robert Wilson,MI,749.4
